,Carrier,Origin,Destination,NumFlights,AvgProbDelayed
297,American Airlines Inc.,IAH,CLT,103,0.12610646678447163
298,American Airlines Inc.,IAH,DFW,141,0.14928061486568017
299,American Airlines Inc.,IAH,LAX,26,0.15384514112858616
300,American Airlines Inc.,IAH,MIA,70,0.18569721737658848
301,American Airlines Inc.,IAH,ORD,15,0.2663749771249552
302,American Airlines Inc.,IAH,PHL,44,0.181834477482591
303,American Airlines Inc.,IAH,PHX,2,4.76768994446599e-08
304,American Airlines Inc.,ICT,DFW,35,0.14332493524421322
305,American Airlines Inc.,ILM,CLT,52,0.03845624808958012
306,American Airlines Inc.,IND,CLT,32,0.12499806246513827
307,American Airlines Inc.,IND,DFW,93,0.2365443763222209
308,American Airlines Inc.,IND,LAX,26,0.15382487976966427
309,American Airlines Inc.,IND,ORD,17,0.1764690575642038
310,American Airlines Inc.,IND,PHX,44,0.15906734817363932
311,American Airlines Inc.,JAC,DFW,20,0.20000003623392817
312,American Airlines Inc.,JAC,ORD,13,0.3076588857064357
313,American Airlines Inc.,JAX,CLT,100,0.050012757495404285
314,American Airlines Inc.,JAX,DFW,70,0.18947025473742
315,American Airlines Inc.,JAX,PHL,21,0.04761906441751895
316,American Airlines Inc.,JFK,AUS,27,0.40687927509864036
317,American Airlines Inc.,JFK,BOS,37,0.05504630193870976
318,American Airlines Inc.,JFK,CLT,90,0.1222145776885145
319,American Airlines Inc.,JFK,DCA,25,0.11999794171370234
320,American Airlines Inc.,JFK,DEN,3,0.3333333371898512
321,American Airlines Inc.,JFK,DFW,30,0.13333314703850635
322,American Airlines Inc.,JFK,EGE,7,0.1428503285317489
323,American Airlines Inc.,JFK,LAS,32,0.21872895836531048
324,American Airlines Inc.,JFK,LAX,207,0.12071527852559419
325,American Airlines Inc.,JFK,MCO,41,0.12193978088714094
326,American Airlines Inc.,JFK,MIA,126,0.16667884793838114
327,American Airlines Inc.,JFK,ORD,25,0.15999487552191943
328,American Airlines Inc.,JFK,PHX,84,0.1785323897931995
329,American Airlines Inc.,JFK,SAN,30,0.0667815681954432
330,American Airlines Inc.,JFK,SEA,30,0.13605099396946646
331,American Airlines Inc.,JFK,SFO,77,0.19479702852390404
332,American Airlines Inc.,KOA,DFW,12,0.16666455461535037
333,American Airlines Inc.,KOA,LAX,32,7.953779592470695e-08
334,American Airlines Inc.,KOA,PHX,18,0.05555453004177838
335,American Airlines Inc.,LAS,CLT,67,0.17910608351810436
336,American Airlines Inc.,LAS,DCA,19,0.2105220672552119
337,American Airlines Inc.,LAS,DFW,172,0.13390993793969386
338,American Airlines Inc.,LAS,JFK,37,0.18906629713342438
339,American Airlines Inc.,LAS,LAX,143,0.17480815650398332
340,American Airlines Inc.,LAS,MIA,60,0.133332452828899
341,American Airlines Inc.,LAS,ORD,72,0.2777490303007672
342,American Airlines Inc.,LAS,PHL,68,0.17648761711073147
343,American Airlines Inc.,LAS,PHX,76,0.11841555499664809
344,American Airlines Inc.,LAX,ANC,4,0.49999408515575716
345,American Airlines Inc.,LAX,ATL,55,0.14544335346233078
346,American Airlines Inc.,LAX,AUS,68,0.10417722534542875
347,American Airlines Inc.,LAX,BDL,19,0.10526320141637581
348,American Airlines Inc.,LAX,BNA,40,0.12715438264723353
349,American Airlines Inc.,LAX,BOS,113,0.16795169252396572
350,American Airlines Inc.,LAX,CLT,112,0.15270753329422732
351,American Airlines Inc.,LAX,CMH,22,0.22711905762838455
352,American Airlines Inc.,LAX,DCA,41,0.21893077846027678
353,American Airlines Inc.,LAX,DEN,36,0.111109440027135
354,American Airlines Inc.,LAX,DFW,225,0.15998708622601024
355,American Airlines Inc.,LAX,EGE,8,0.3749497832513333
356,American Airlines Inc.,LAX,HNL,89,0.20226925003637267
357,American Airlines Inc.,LAX,IAD,36,0.19260247769909955
358,American Airlines Inc.,LAX,IAH,13,0.3845998517200787
359,American Airlines Inc.,LAX,IND,31,0.1290314669962241
360,American Airlines Inc.,LAX,JFK,199,0.16105810477228322
361,American Airlines Inc.,LAX,KOA,22,0.04545455855192852
362,American Airlines Inc.,LAX,LAS,137,0.13160875118977777
363,American Airlines Inc.,LAX,LIH,35,0.14284737898009406
364,American Airlines Inc.,LAX,MCO,63,0.22222165107268538
365,American Airlines Inc.,LAX,MIA,137,0.1684987476198515
366,American Airlines Inc.,LAX,MSY,22,0.09061291087993346
367,American Airlines Inc.,LAX,OGG,48,0.1041609000104665
368,American Airlines Inc.,LAX,ORD,179,0.12278271461975722
369,American Airlines Inc.,LAX,PHL,119,0.19299485232996305
370,American Airlines Inc.,LAX,PHX,110,0.23684119128601508
371,American Airlines Inc.,LAX,RDU,27,0.11108511403136842
372,American Airlines Inc.,LAX,SAT,11,0.0909087012950822
373,American Airlines Inc.,LAX,SEA,4,5.906809352118765e-09
374,American Airlines Inc.,LAX,SFO,9,0.5554973230418487
375,American Airlines Inc.,LAX,SMF,3,3.3790049368748196e-08
376,American Airlines Inc.,LAX,STL,31,0.1935223323695018
377,American Airlines Inc.,LAX,TUS,6,0.16666668685590005
378,American Airlines Inc.,LBB,DFW,7,0.5698652446693823
379,American Airlines Inc.,LGA,ATL,22,0.3636332313742487
380,American Airlines Inc.,LGA,BNA,1,9.609255769199416e-08
381,American Airlines Inc.,LGA,BOS,220,0.1772555089904983
382,American Airlines Inc.,LGA,CLT,184,0.12496122558845861
383,American Airlines Inc.,LGA,DCA,3,2.6796468652173088e-08
384,American Airlines Inc.,LGA,DFW,180,0.14994104014885196
385,American Airlines Inc.,LGA,MCO,16,0.18745651789613402
386,American Airlines Inc.,LGA,MIA,202,0.16369891375966544
387,American Airlines Inc.,LGA,ORD,236,0.20337828294918384
388,American Airlines Inc.,LGA,PHL,27,0.07407169065121734
389,American Airlines Inc.,LGA,RDU,4,5.996904306324605e-09
390,American Airlines Inc.,LIH,DFW,2,1.2549619605044683e-08
391,American Airlines Inc.,LIH,LAX,28,0.21427805071136555
392,American Airlines Inc.,LIH,PHX,18,1.6742258962735452e-08
393,American Airlines Inc.,LIT,DFW,3,0.6654373369285363
394,American Airlines Inc.,MCI,CLT,62,0.09677033346725934
395,American Airlines Inc.,MCI,DFW,103,0.17471420718752195
396,American Airlines Inc.,MCI,MIA,1,5.995378194116247e-09
397,American Airlines Inc.,MCI,ORD,36,0.2523396382274347
398,American Airlines Inc.,MCI,PHL,42,0.14284618393287496
399,American Airlines Inc.,MCI,PHX,24,0.041665911527872156
400,American Airlines Inc.,MCO,CLT,178,0.2250263861199407
401,American Airlines Inc.,MCO,DCA,89,0.1797856610651445
402,American Airlines Inc.,MCO,DFW,193,0.12952107810793684
403,American Airlines Inc.,MCO,JFK,40,0.0750000227958439
404,American Airlines Inc.,MCO,LAX,80,0.17441575079738195
405,American Airlines Inc.,MCO,LGA,18,0.22220017228845637
406,American Airlines Inc.,MCO,MIA,132,0.18988105943235412
407,American Airlines Inc.,MCO,ORD,84,0.22618300952698597
408,American Airlines Inc.,MCO,PHL,121,0.2831311088608457
409,American Airlines Inc.,MCO,PHX,44,0.13635921949073168
410,American Airlines Inc.,MDT,CLT,46,0.08695653038608411
411,American Airlines Inc.,MEM,CLT,78,0.02558179339832154
412,American Airlines Inc.,MEM,DFW,77,0.19596638703604244
413,American Airlines Inc.,MFE,DFW,9,0.555549504056333
414,American Airlines Inc.,MHT,PHL,27,0.07406115391779598
415,American Airlines Inc.,MIA,ATL,86,0.20929636286881934
416,American Airlines Inc.,MIA,AUS,7,0.14284857498173006
417,American Airlines Inc.,MIA,BDL,16,0.31248097221436105
418,American Airlines Inc.,MIA,BNA,9,2.6222519100374028e-08
419,American Airlines Inc.,MIA,BOS,130,0.21536046750862542
420,American Airlines Inc.,MIA,BUF,1,6.050670821193159e-09
421,American Airlines Inc.,MIA,BWI,54,0.203598372146932
422,American Airlines Inc.,MIA,CLT,130,0.17652363494109535
423,American Airlines Inc.,MIA,DCA,165,0.16383785301597067
424,American Airlines Inc.,MIA,DEN,32,0.12499862755833832
425,American Airlines Inc.,MIA,DFW,215,0.20542372919101404
426,American Airlines Inc.,MIA,DTW,47,0.3176278717201621
427,American Airlines Inc.,MIA,EGE,3,5.906706681881882e-09
428,American Airlines Inc.,MIA,EWR,58,0.3448053853323136
429,American Airlines Inc.,MIA,IAD,39,0.2307617590911696
430,American Airlines Inc.,MIA,IAH,73,0.20536482550443808
431,American Airlines Inc.,MIA,JFK,109,0.2568398253851341
432,American Airlines Inc.,MIA,LAS,63,0.2698275691757728
433,American Airlines Inc.,MIA,LAX,148,0.20945505401176784
434,American Airlines Inc.,MIA,LGA,199,0.2254202390966078
435,American Airlines Inc.,MIA,MCI,2,0.4999046029081175
436,American Airlines Inc.,MIA,MCO,134,0.20892824090067785
437,American Airlines Inc.,MIA,MSY,49,0.22611424566996527
438,American Airlines Inc.,MIA,ORD,161,0.24250176681967806
439,American Airlines Inc.,MIA,PHL,120,0.27499827663429144
440,American Airlines Inc.,MIA,PHX,52,0.24996812124926585
441,American Airlines Inc.,MIA,PVD,2,8.155041322218221e-09
442,American Airlines Inc.,MIA,RDU,49,0.2652390529351991
443,American Airlines Inc.,MIA,SAN,31,0.32381870545507885
444,American Airlines Inc.,MIA,SAT,18,0.499896445290152
